ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/12/2014 13:09,-43515,805522 SHOPRITE MAUN      BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_Nzc1NzY5NDZfMTM4NTczNTgxNS44Mjk5
Card Campaign,1/12/2014 13:09,-50000,THAMAGA ATM               BWS           BW,DEDUCT,3.04012E+14,1,P_Nzc0NDc0NjRfMTM4MjQzNTM5MC45MTc5
Card Campaign,1/12/2014 13:11,-21180,Pick N Pay S / M100995    Selebi - Phik BW,DEDUCT,4.01248E+12,0,P_NzIzNjc4MjBfMTM4MDcyNTkxNS44OTIx
Card Campaign,1/12/2014 13:12,-4990,196211 NANDOS PHAKALANE   BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzI3MzcwMjNfMTM3NjQ2NDc5Ny41NDAy
Card Campaign,1/12/2014 13:16,-50000,001262 PULA SERVICE STATI BOTSWANA      BW,DEDUCT,4.01233E+12,0,P_NzQ0NTU1NTRfMTM4NDg0Njg2My40NDMx
Card Campaign,1/12/2014 13:17,-40000,*TUTUME                   TUTUME        BW,DEDUCT,4.64012E+14,1,P_NzUzMjI3NjlfMTM4Njk0MjQ3NC4xMTYy
Card Campaign,1/12/2014 13:18,-2395,104447 G-WEST CHOPPIES    BOTSWANA      BW,DEDUCT,4.01234E+12,0,P_Nzc0MDEyNTdfMTM4MDcwOTA2Mi4yMDQ3
Card Campaign,1/12/2014 13:23,-6460,341155 CHOPPIES SUPERSTOR BOTSWANA      BW,DEDUCT,4.01234E+12,0,P_NzI2MzE4NDRfMTM4NTcxOTY5NC4zMzE0
Card Campaign,1/12/2014 13:23,-6460,341155 CHOPPIES SUPERSTOR BOTSWANA      BW,DEDUCT,4.01234E+12,0,P_NzI2MzE4NDRfMTM4NTcxOTY5NC4zMzE0
Card Campaign,1/12/2014 13:25,-20000,370592 ENGEN LOBATSE      BOTSWANA      BW,DEDUCT,4.01234E+12,0,P_Nzc1Mjc4NTdfMTM4NDc5MjU5Ni44MDAx
Card Campaign,1/12/2014 13:28,-2000,AIRPORT JXN               GABORONE      BW,DEDUCT,5.84012E+14,1,P_NzQzNjEzMjlfMTM3NzI2NzA1MS4xNTU4
Card Campaign,1/12/2014 13:34,-9000,*MAHALAPYE                MAHALAPYE     BW,DEDUCT,3.04012E+14,1,P_NzIyMDMxNzdfMTM3NzU5NzQ1Ni44NDAz
Card Campaign,1/12/2014 13:36,-1695,104447 G-WEST CHOPPIES    BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_Nzc0MDEyNTdfMTM4MDcwOTA2Mi4yMDQ3
Card Campaign,1/12/2014 13:37,-3400,Sunset Butchery 100343    Francistown   BW,DEDUCT,1.64012E+14,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy
Card Campaign,1/12/2014 13:37,-10045,050665 MARANG SUPER SPAR  BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzIyMDY1MjZfMTM4MTgyMzI3NC4xMDE0
Card Campaign,1/12/2014 13:39,-10000,PALAPYE BRANCH ATM        PALAPYE       BW,DEDUCT,3.04012E+14,1,P_Nzc1MjI0NTNfMTM4Njg1MDE3Ny4yMDA4
Card Campaign,1/12/2014 13:42,-10000,PALAPYE BRANCH 2          PAL           BW,DEDUCT,5.84012E+14,1,P_Nzc1MjI0NTNfMTM4Njg1MDE3Ny4yMDA4
Card Campaign,1/12/2014 13:48,-130000,KWENA MALL ATM            JOHANNESBURG  BW,DEDUCT,4.64012E+14,1,P_NzI3NjE1MDBfMTM3NjM5Mzc4Mi4yOTM3
Card Campaign,1/12/2014 13:55,-10000,ENGEN MOGODITSHANE AT     BOTSWANA      BW,DEDUCT,3.84012E+14,1,P_NzI4MjQ1NDJfMTM4MDM2NDM2NC4xODU4
Card Campaign,1/12/2014 13:57,-25000,A1 Service Stati101242    Gaborone      BW,DEDUCT,8.40125E+13,0,P_NzUxNTIzMTJfMTM4NjMzNzM0OC44MDM3
Card Campaign,1/12/2014 13:59,-5100,126275 LOBATSE VALUE STOR BOTSWANA      BW,DEDUCT,4.01236E+12,0,P_Nzc1Mjc4NTdfMTM4NDc5MjU5Ni44MDAx
Card Campaign,1/12/2014 13:59,-60000,CHOPPIES MASUNGA MALL     BOTSWANA      BW,DEDUCT,3.84012E+14,1,P_NzI0NDQzNzlfMTM4NjI1MTI5MS4yNzY4
Card Campaign,1/12/2014 14:03,-1895,Shoppers Palapye102969    Palapye       BW,DEDUCT,2.84013E+14,0,P_NzIxNDExMjdfMTM3ODczNzIzOS44OTU=
Card Campaign,1/12/2014 14:14,-200000,FRANCISTOWN INDUSTRIAL    FRANCISTOWN   BW,DEDUCT,5.84012E+14,1,P_NzI3NDM4OTZfMTM3Nzc2MjAxMS44MTEx
Card Campaign,1/12/2014 14:16,-45000,791604 BAKGATLA FILLING S BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_NzIxOTI2MDZfMTM4MTE1MjMxNS4zNTkz
Card Campaign,1/12/2014 14:16,-14722,029735 PEP 8310           BOTSWANA      BW,DEDUCT,4.01237E+12,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2
Card Campaign,1/12/2014 14:16,-10000,TRUWORTHS                 BOTSWANA      BW,DEDUCT,4.04954E+15,1,P_NzI3NDUxNDRfMTM4NDM1MDQ5NC4yMTUx
Card Campaign,1/12/2014 14:16,-4000,MAUN BRANCH               MAUN          BW,DEDUCT,3.84012E+14,1,P_NzIyMDM0OTBfMTM4MzY2MDE0MS4yMjc5
Card Campaign,1/12/2014 14:29,-2140,292051 CHOPPIES VALUE STO BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2
Card Campaign,1/12/2014 14:33,-10000,GABORONE INDUSTRIAL       GAB           BW,DEDUCT,3.04012E+14,1,P_NzIzNTI4NDlfMTM4MzgwOTUyMS41ODkx
Card Campaign,1/12/2014 14:34,-10000,BROADHURST INDUSTRIAL     BROADHURST    BW,DEDUCT,5.84012E+14,1,P_NzIxOTIyMjlfMTM3OTY5MDI2Ny41MzI5
Card Campaign,1/12/2014 14:35,-11797,726796 PEP STORES RAIL PA BOTSWANA      BW,DEDUCT,4.01238E+12,0,P_NzI0NzY4MDZfMTM3NzYxNjA4OC4yNTY4
Card Campaign,1/12/2014 14:36,-40000,EASY PLAN RAILWAY         GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzI0ODc5NzhfMTM4NjA1OTI2My45NTIy
Card Campaign,1/12/2014 14:36,-10000,SELEBI PHIKWE 1           GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzIyMDkwNThfMTM4NTQ2MzIyMS45OTgx
Card Campaign,1/12/2014 14:38,-15000,*SHAKAWE                  SHAKAWE       BW,DEDUCT,5.84013E+14,1,P_Nzc1MjIwNDBfMTM4NTE5MTQyNy4yMjE2
Card Campaign,1/12/2014 14:39,-10000,MOLEPOLOLE                GABARONE      BW,DEDUCT,3.04012E+14,1,P_Nzc1Mjk5NjJfMTM4OTM0NjY3Mi40MTg2
Card Campaign,1/12/2014 14:41,-50000,BUS RANK ATM 1            JOHANNESBURG  BW,DEDUCT,3.84012E+14,1,P_NzIxOTIyNDhfMTM4OTM2NTAwMi42MzAz
Card Campaign,1/12/2014 14:43,-50000,*GHANZI                   GHANZI        BW,DEDUCT,5.84013E+14,1,P_NzUwMDkzNThfMTM3ODc5NzQxNy43MjM4
Card Campaign,1/12/2014 14:44,-10000,MARKUS CALTEX FILLING     BW            BW,DEDUCT,5.84012E+14,1,P_NzI1OTk5MDBfMTM4NTczNjUzNi4zNTcz
Card Campaign,1/12/2014 14:44,-30000,*TONOTA                   FRANCISTOWN   BW,DEDUCT,3.84013E+14,1,P_NzQzNDA1NjBfMTM4MjM0MzYwMi40NzM5
